player,prop,line,proj,side,diff
Gabe Vincent,3-Pointers Made,1.5,2.1,over,0.6
Draymond Green,3-Pointers Made,1.5,1,under,-0.5
Kevin Durant,3-Pointers Made,2.5,2.1,under,-0.4
Luguentz Dort,3-Pointers Made,2.5,2.1,under,-0.4
Jabari Smith Jr.,3-Pointers Made,1.5,1.9,over,0.4
Jaylin Williams,3-Pointers Made,0.5,0.9,over,0.4
Reed Sheppard,3-Pointers Made,1.5,1.9,over,0.4
Buddy Hield,3-Pointers Made,2.5,2.9,over,0.4
Jonathan Kuminga,3-Pointers Made,0.5,0.9,over,0.4
Marcus Smart,3-Pointers Made,1.5,1.2,under,-0.3
Jake LaRavia,3-Pointers Made,0.5,0.8,over,0.3
Shai Gilgeous-Alexander,3-Pointers Made,1.5,1.7,over,0.2
Alperen Sengun,3-Pointers Made,0.5,0.3,under,-0.2
Stephen Curry,3-Pointers Made,4.5,4.3,under,-0.2
Gary Payton II,3-Pointers Made,0.5,0.7,over,0.2
Jarred Vanderbilt,3-Pointers Made,0.5,0.3,under,-0.2
Brandin Podziemski,3-Pointers Made,1.5,1.7,over,0.2
Alex Caruso,3-Pointers Made,1.5,1.6,over,0.1
Aaron Wiggins,3-Pointers Made,1.5,1.6,over,0.1
Chet Holmgren,3-Pointers Made,1.5,1.4,under,-0.1
Amen Thompson,3-Pointers Made,0.5,0.4,under,-0.1
Al Horford,3-Pointers Made,1.5,1.6,over,0.1
Rui Hachimura,3-Pointers Made,1.5,1.4,under,-0.1
