Game,Tipoff,Season,Score,Over_Under,Home_Line
ORL @ CHI,Oct 30 8:00 PM,2024,99-102,227.5,5.5
BKN @ MEM,Oct 30 8:00 PM,2024,119-106,226.0,-12.0
SAS @ OKC,Oct 30 9:30 PM,2024,93-105,221.0,-12.5
NOP @ GSW,Oct 30 10:00 PM,2024,89-104,219.0,-3.5
POR @ LAC,Oct 30 10:30 PM,2024,106-105,219.0,-8.0
MIL @ MEM,Oct 31 8:00 PM,2024,99-122,230.5,6.5
HOU @ DAL,Oct 31 8:30 PM,2024,108-102,226.0,-6.5
SAS @ UTA,Oct 31 9:00 PM,2024,106-88,219.5,2.5
PHX @ LAC,Oct 31 10:30 PM,2024,125-119,220.0,4.0
BOS @ CHA,Nov 1 7:00 PM,2024,124-109,233.0,10.5
ORL @ CLE,Nov 1 7:00 PM,2024,109-120,216.0,-7.0
NYK @ DET,Nov 1 7:00 PM,2024,128-98,219.0,6.0
SAC @ ATL,Nov 1 7:30 PM,2024,123-115,236.0,6.0
CHI @ BKN,Nov 1 7:30 PM,2024,112-120,228.5,-1.5
LAL @ TOR,Nov 1 7:30 PM,2024,131-125,232.5,9.0
IND @ NOP,Nov 1 8:00 PM,2024,118-125,232.0,4.5
DEN @ MIN,Nov 1 9:30 PM,2024,116-119,219.0,-3.5
OKC @ POR,Nov 1 10:00 PM,2024,137-114,221.0,11.0
BOS @ CHA,Nov 2 6:00 PM,2024,113-103,231.5,10.5
MEM @ PHI,Nov 2 7:30 PM,2024,124-107,222.5,1.0
SAC @ TOR,Nov 2 7:30 PM,2024,128-131,236.0,9.5
GSW @ HOU,Nov 2 8:00 PM,2024,127-121,216.0,-5.0
CLE @ MIL,Nov 2 8:00 PM,2024,114-113,230.5,-2.0
MIN @ SAS,Nov 2 8:00 PM,2024,103-113,215.0,3.5
MIA @ WAS,Nov 2 9:30 PM,2024,118-98,224.5,10.0
UTA @ DEN,Nov 2 10:00 PM,2024,103-129,220.5,-11.0
POR @ PHX,Nov 2 10:00 PM,2024,97-103,228.5,-13.0
OKC @ LAC,Nov 2 10:30 PM,2024,105-92,220.5,5.5
DET @ BKN,Nov 3 3:30 PM,2024,106-92,219.0,-3.0
ATL @ NOP,Nov 3 7:00 PM,2024,126-111,225.0,1.0
ORL @ DAL,Nov 3 7:30 PM,2024,85-108,220.0,-7.0
MIL @ CLE,Nov 4 7:00 PM,2024,114-116,228.5,-8.0
GSW @ WAS,Nov 4 7:15 PM,2024,125-112,234.0,11.0
LAL @ DET,Nov 4 7:30 PM,2024,103-115,226.0,7.0
BOS @ ATL,Nov 4 7:45 PM,2024,123-93,232.5,10.0
MEM @ BKN,Nov 4 8:00 PM,2024,104-106,223.0,4.0
SAC @ MIA,Nov 4 8:15 PM,2024,111-110,224.5,-1.0
UTA @ CHI,Nov 4 8:30 PM,2024,135-126,229.0,-7.5
NYK @ HOU,Nov 4 8:45 PM,2024,97-109,217.5,2.0
CHA @ MIN,Nov 4 9:00 PM,2024,93-114,225.5,-11.0
ORL @ OKC,Nov 4 9:15 PM,2024,86-102,217.5,-12.5
POR @ NOP,Nov 4 9:30 PM,2024,118-100,218.0,-1.0
IND @ DAL,Nov 4 9:45 PM,2024,134-127,236.5,-4.5
TOR @ DEN,Nov 4 10:00 PM,2024,119-121,231.5,-11.0
PHI @ PHX,Nov 4 10:15 PM,2024,116-118,222.5,-7.5
SAS @ LAC,Nov 4 10:30 PM,2024,104-113,215.0,-4.0
DET @ CHA,Nov 6 7:00 PM,2024,107-108,223.0,1.5
ORL @ IND,Nov 6 7:00 PM,2024,111-118,226.5,-5.5
NYK @ ATL,Nov 6 7:30 PM,2024,116-121,226.5,7.0
GSW @ BOS,Nov 6 7:30 PM,2024,118-112,228.5,-7.0
SAS @ HOU,Nov 6 8:00 PM,2024,100-127,214.5,-6.5
LAL @ MEM,Nov 6 8:00 PM,2024,114-131,233.0,1.0
CLE @ NOP,Nov 6 8:00 PM,2024,131-122,225.0,6.5
CHI @ DAL,Nov 6 8:30 PM,2024,99-119,237.0,-10.0
OKC @ DEN,Nov 6 9:00 PM,2024,122-124,225.0,7.0
MIA @ PHX,Nov 6 9:00 PM,2024,112-115,223.0,-5.0
PHI @ LAC,Nov 6 10:00 PM,2024,98-110,215.0,1.0
TOR @ SAC,Nov 6 10:00 PM,2024,107-122,237.5,-11.5
MIN @ CHI,Nov 7 8:00 PM,2024,135-119,226.5,9.5
UTA @ MIL,Nov 7 8:00 PM,2024,100-123,232.0,-10.0
POR @ SAS,Nov 7 8:00 PM,2024,105-118,217.5,-4.0
IND @ CHA,Nov 8 7:00 PM,2024,83-103,235.5,6.5
ATL @ DET,Nov 8 7:00 PM,2024,121-122,227.5,-2.0
NOP @ ORL,Nov 8 7:00 PM,2024,88-115,210.0,-8.5
BKN @ BOS,Nov 8 7:30 PM,2024,104-108,220.5,-13.5
GSW @ CLE,Nov 8 7:30 PM,2024,117-136,230.0,-4.0
PHX @ DAL,Nov 8 7:30 PM,2024,114-113,233.5,-3.0
MIL @ NYK,Nov 8 7:30 PM,2024,94-116,223.5,-6.5
WAS @ MEM,Nov 8 8:00 PM,2024,104-128,231.5,-7.5
HOU @ OKC,Nov 8 8:00 PM,2024,107-126,221.0,-7.5
MIA @ DEN,Nov 8 9:00 PM,2024,122-135,221.5,-3.0
POR @ MIN,Nov 8 9:00 PM,2024,102-127,220.0,-12.0
PHI @ LAL,Nov 8 10:00 PM,2024,106-116,224.0,-7.5
LAC @ SAC,Nov 8 10:00 PM,2024,107-98,224.0,-6.5
UTA @ SAS,Nov 9 5:00 PM,2024,111-110,221.5,-6.5
CHI @ ATL,Nov 9 7:30 PM,2024,125-113,241.0,-2.5
BKN @ CLE,Nov 9 7:30 PM,2024,100-105,220.0,-12.5
TOR @ LAC,Nov 9 10:30 PM,2024,103-105,226.0,-6.0
HOU @ DET,Nov 10 3:00 PM,2024,101-99,218.5,4.0
BOS @ MIL,Nov 10 3:30 PM,2024,113-107,230.0,5.0
NYK @ IND,Nov 10 5:00 PM,2024,121-132,229.5,3.0
WAS @ ORL,Nov 10 6:00 PM,2024,94-121,223.0,-11.5
MIA @ MIN,Nov 10 7:00 PM,2024,95-94,218.5,-7.5
GSW @ OKC,Nov 10 7:00 PM,2024,127-116,228.0,-6.5
CHA @ PHI,Nov 10 7:00 PM,2024,105-107,214.0,-5.0
DAL @ DEN,Nov 10 8:00 PM,2024,120-122,233.0,-2.0
