name,pos,age
Jusuf Nurkić,C,31.0
Khris Middleton,SF,34.0
Derrick Jones Jr.,SF,28.0
Jock Landale,C,30.0
Blake Hinson,SF,26.0
Jakob Poeltl,C,30.0
Daeqwon Plowden,SG,27.0
Marvin Bagley III,PF,26.0
Bub Carrington,PG,20.0
Egor Dёmin,PG,19.0
Tari Eason,PF,24.0
Ziaire Williams,SF,24.0
Tyler Burton,SF,25.0
D'Angelo Russell,PG,29.0
Jalen Smith,C,25.0
Harrison Barnes,PF,33.0
Obi Toppin,PF,27.0
Tristan Da Silva,SF,24.0
Royce O'Neale,SF,32.0
Zaccharie Risacher,SF,20.0
Isaiah Stewart,C,24.0
Ausar Thompson,SF,23.0
Kevin Huerter,SG,27.0
Neemias Queta,C,26.0
Aaron Wiggins,SG,27.0
Zach Collins,C,28.0
Jordan Miller,SF,26.0
Landry Shamet,SG,28.0
Precious Achiuwa,C,26.0
Daniel Gafford,C,27.0
A.J. Green,SG,26.0
Isaiah Hartenstein,C,27.0
Olivier-Maxence Prosper,PF,23.0
Marcus Smart,SG,31.0
Jay Huff,C,27.0
T.J. McConnell,PG,33.0
Will Riley,SF,19.0
Svi Mykhailiuk,SF,28.0
Isaac Okoro,SG,25.0
Javon Small,PG,23.0
Cam Whitmore,SF,21.0
Jaden Hardy,SG,23.0
Corey Kispert,SF,26.0
Jordan Clarkson,SG,33.0
Herbert Jones,SF,27.0
Davion Mitchell,PG,27.0
Sam Hauser,PF,28.0
Micah Potter,C,27.0
Gui Santos,PF,23.0
Danny Wolf,PF,21.0
Jordan Goodwin,PG,27.0
Daniss Jenkins,PG,24.0
Day'Ron Sharpe,C,24.0
Tristan Vukcevic,C,22.0
Vít Krejčí,PG,25.0
Simone Fontecchio,SF,30.0
Cason Wallace,SG,22.0
Jaden Ivey,SG,23.0
Leaky Black,SF,26.0
Draymond Green,PF,35.0
DaQuan Jeffries,SG,28.0
Jared McCain,SG,21.0
Kentavious Caldwell-Pope,SG,32.0
Luguentz Dort,SF,26.0
Al Horford,C,39.0
Quenton Jackson,PG,27.0
Jake LaRavia,PF,24.0
Kadary Richmond,SG,24.0
Nolan Traoré,PG,19.0
Jonas Valančiūnas,C,33.0
Bradley Beal,SG,32.0
Justin Champagnie,SF,24.0
Ron Holland,SF,20.0
MarJon Beauchamp,SF,25.0
Moussa Diabaté,C,24.0
Brook Lopez,C,37.0
Bryce McGowens,SG,23.0
Luke Kennard,SG,29.0
Dominick Barlow,PF,22.0
Bones Hyland,PG,25.0
DeJon Jarreau,SG,28.0
LJ Cryer,PG,24.0
Collin Murray-Boyles,PF,20.0
