name,pos,age,name_s26
Wayne Ellington,SG,34.0,Wayne Ellington
Stanley Johnson,PF,25.0,Stanley Johnson
Georgios Kalaitzakis,SF,23.0,Georgios Kalaitzakis
Torrey Craig,SF,31.0,Torrey Craig
Zeke Nnaji,PF,21.0,Zeke Nnaji
B.J. Johnson,SF,26.0,BJ Johnson
Mason Plumlee,C,31.0,Mason Plumlee
Josh Jackson,SF,24.0,Josh Jackson
Justin Anderson,SF,28.0,Justin Anderson
Avery Bradley,SG,31.0,Avery Bradley
JaMychal Green,PF,31.0,JaMychal Green
Blake Griffin,C,32.0,Blake Griffin
Brandon Knight,PG,30.0,Brandon Knight
Isaiah Livers,SF,23.0,Isaiah Livers
Ish Smith,PG,33.0,Ish Smith
Aaron Holiday,PG,25.0,Aaron Holiday
Dewayne Dedmon,C,32.0,Dewayne Dedmon
Hassani Gravett,PG,25.0,Hassani Gravett
Derrick Walton,PG,26.0,Derrick Walton Jr.
Lou Williams,PG,35.0,Lou Williams
Chaundee Brown Jr.,SF,23.0,Chaundee Brown Jr.
Thaddeus Young,PF,33.0,Thaddeus Young
George Hill,PG,35.0,George Hill
Dwight Howard,C,36.0,Dwight Howard
Vít Krejčí,SG,21.0,Vit Krejci
Jalen McDaniels,SF,24.0,Jalen McDaniels
Payton Pritchard,PG,24.0,Payton Pritchard
Day'Ron Sharpe,PF,20.0,Day'Ron Sharpe
Jose Alvarado,PG,23.0,Jose Alvarado
Nemanja Bjelica,C,33.0,Nemanja Bjelica
Lamar Stevens,PF,24.0,Lamar Stevens
Tristan Thompson,C,30.0,Tristan Thompson
Quentin Grimes,SG,21.0,Quentin Grimes
Tre Jones,PG,22.0,Tre Jones
Alex Len,C,28.0,Alex Len
Kevon Looney,C,25.0,Kevon Looney
Austin Rivers,SG,29.0,Austin Rivers
Danuel House Jr.,SF,28.0,Danuel House Jr.
Kessler Edwards,SF,21.0,Kessler Edwards
Danny Green,SF,34.0,Danny Green
Kira Lewis Jr.,PG,20.0,Kira Lewis Jr.
Bismack Biyombo,C,29.0,Bismack Biyombo
Carsen Edwards,SG,23.0,Carsen Edwards
CJ Elleby,SF,21.0,CJ Elleby
Luka Garza,C,23.0,Luka Garza
Xavier Moon,SG,27.0,Xavier Moon
Eric Paschall,PF,25.0,Eric Paschall
Joshua Primo,SF,19.0,Joshua Primo
Cassius Stanley,SG,22.0,Cassius Stanley
Justise Winslow,PF,25.0,Justise Winslow
Kelan Martin,SF,26.0,Kelan Martin
Keita Bates-Diop,SF,26.0,Keita Bates-Diop
Naji Marshall,SF,24.0,Naji Marshall
Matisse Thybulle,SG,24.0,Matisse Thybulle
Dāvis Bertāns,PF,29.0,Davis Bertans
Derrick Jones Jr.,PF,24.0,Derrick Jones Jr.
Saben Lee,PG,22.0,Saben Lee
Dennis Smith Jr.,PG,24.0,Dennis Smith Jr.
Keifer Sykes,PG,28.0,Keifer Sykes
James Johnson,PF,34.0,James Johnson
Greg Monroe,C,31.0,Greg Monroe
Wenyen Gabriel,PF,24.0,Wenyen Gabriel
PJ Dozier,SG,25.0,PJ Dozier
Rodney McGruder,SG,30.0,Rodney McGruder
Trey Murphy III,SF,21.0,Trey Murphy III
Armoni Brooks,SG,23.0,Armoni Brooks
D.J. Augustin,PG,34.0,D.J. Augustin
