name,pos,age
Nick Smith Jr.,SG,19
Ochai Agbaji,SG,23
Noah Clowney,PF,19
Dyson Daniels,PG,20
Danilo Gallinari,SF,35
Thomas Bryant,C,26
Torrey Craig,SF,33
Larry Nance Jr.,C,31
Pat Connaughton,SF,31
Craig Porter Jr.,PG,23
Mitchell Robinson,C,25
Malachi Flynn,PG,25
Doug McDermott,SF,32
Dexter Dennis,SG,24
Gary Payton II,SG,31
Neemias Queta,C,24
Ricky Council IV,SG,22
Kris Dunn,PG,29
Keon Ellis,SG,24
Cam Reddish,SF,24
Matt Ryan,SF,26
Matisse Thybulle,SF,26
Sasha Vezenkov,PF,28
Dean Wade,PF,27
Darius Bazley,PF,23
Xavier Tillman Sr.,PF,25
Nicolas Batum,PF,35
Luke Kornet,C,28
Davion Mitchell,PG,25
Mason Plumlee,C,33
Stanley Umude,SG,24
Aleksej Pokusevski,PF,22
Bol Bol,PF,24
Brandon Boston Jr.,SF,22
Jarred Vanderbilt,PF,24
Seth Curry,SG,33
Drew Eubanks,C,26
Bryce McGowens,SG,21
Richaun Holmes,C,30
Monte Morris,PG,28
Goga Bitadze,C,24
Jevon Carter,PG,28
Devonte' Graham,PG,28
Isaiah Livers,PF,25
Kobi Simmons,PG,26
D.J. Wilson,PF,27
Jalen Wilson,PF,23
Jock Landale,C,28
Garrison Mathews,SG,27
Jared Rhoden,SG,24
Kobe Bufkin,SG,20
DeJon Jarreau,SG,26
Eugene Omoruyi,SF,26
Kenrich Williams,PF,29
Kenneth Lofton Jr.,PF,21
Anthony Black,PG,20
Josh Okogie,SG,25
Omer Yurtseven,C,25
Shake Milton,SG,27
Delon Wright,PG,31
A.J. Green,SG,24
Kevon Looney,C,27
Taze Moore,SG,25
Julian Strawther,SF,21
Bismack Biyombo,C,31
Robert Covington,SF,33
Patrick Baldwin Jr.,SF,21
Mo Bamba,C,25
Dominick Barlow,PF,20
MarJon Beauchamp,SF,23
Joe Ingles,SF,36
Maxi Kleber,C,32
Jontay Porter,PF,24
Lester Quiñones,SG,23
Ben Sheppard,SG,22
Blake Wesley,SG,20
Jeff Dowtin Jr.,PG,26
Jaxson Hayes,C,23
Caleb Houstan,SF,21
John Konchar,SF,27
Dru Smith,SG,26
Thaddeus Young,PF,35
