,name1,name2,overEV,over_prob,underEV,under_prob,over_underEV,over_under_prob,under_overEV,under_over_prob
79,Cason Wallace,Pascal Siakam,-58.18,0.139,-12.85,0.291,46.07,0.487,-75.04,0.083
141,Ben Sheppard,Shai Gilgeous-Alexander,-46.85,0.177,-13.85,0.287,23.67,0.412,-62.97,0.123
152,Alex Caruso,Obi Toppin,-37.42,0.209,-14.86,0.284,-2.17,0.326,-45.55,0.182
133,Shai Gilgeous-Alexander,Tyrese Haliburton,-46.3,0.179,-15.13,0.283,24.95,0.416,-63.52,0.122
124,Aaron Wiggins,Shai Gilgeous-Alexander,-46.1,0.18,-15.59,0.281,25.41,0.418,-63.72,0.121
114,Andrew Nembhard,Shai Gilgeous-Alexander,-45.9,0.18,-16.05,0.28,25.87,0.42,-63.92,0.12
103,Chet Holmgren,Shai Gilgeous-Alexander,-45.8,0.181,-16.28,0.279,26.1,0.42,-64.02,0.12
65,Aaron Nesmith,Cason Wallace,-57.03,0.143,-16.83,0.277,50.05,0.5,-76.19,0.079
140,Ben Sheppard,Luguentz Dort,-42.57,0.191,-16.83,0.277,19.39,0.398,-59.99,0.133
50,Cason Wallace,T.J. McConnell,-56.99,0.143,-17.0,0.277,50.22,0.501,-76.23,0.079
146,Isaiah Joe,Obi Toppin,-35.48,0.215,-17.9,0.274,0.87,0.336,-47.49,0.175
132,Luguentz Dort,Tyrese Haliburton,-41.97,0.193,-18.06,0.273,20.62,0.402,-60.59,0.131
34,Bennedict Mathurin,Cason Wallace,-56.66,0.144,-18.14,0.273,51.36,0.505,-76.56,0.078
123,Aaron Wiggins,Luguentz Dort,-41.76,0.194,-18.51,0.272,21.07,0.404,-60.8,0.131
113,Andrew Nembhard,Luguentz Dort,-41.55,0.195,-18.96,0.27,21.52,0.405,-61.01,0.13
91,Myles Turner,Shai Gilgeous-Alexander,-44.63,0.185,-19.01,0.27,28.83,0.429,-65.19,0.116
102,Chet Holmgren,Luguentz Dort,-41.44,0.195,-19.18,0.269,21.74,0.406,-61.12,0.13
151,Alex Caruso,Jalen Williams,-30.08,0.233,-21.26,0.262,-9.51,0.302,-39.15,0.203
78,Pascal Siakam,Shai Gilgeous-Alexander,-43.52,0.188,-21.59,0.261,31.41,0.438,-66.3,0.112
90,Luguentz Dort,Myles Turner,-40.17,0.199,-21.81,0.261,24.37,0.415,-62.39,0.125
145,Isaiah Joe,Jalen Williams,-27.91,0.24,-24.07,0.253,-6.7,0.311,-41.32,0.196
77,Luguentz Dort,Pascal Siakam,-38.97,0.203,-24.3,0.252,26.86,0.423,-63.59,0.121
139,Ben Sheppard,Obi Toppin,-31.02,0.23,-24.87,0.25,7.84,0.359,-51.95,0.16
150,Alex Caruso,Thomas Bryant,-25.7,0.248,-25.07,0.25,-13.89,0.287,-35.34,0.216
64,Aaron Nesmith,Shai Gilgeous-Alexander,-41.98,0.193,-25.18,0.249,35.0,0.45,-67.84,0.107
49,Shai Gilgeous-Alexander,T.J. McConnell,-41.92,0.194,-25.33,0.249,35.15,0.45,-67.9,0.107
