,NAME,BOOKMAKER,CATEGORY,LINE,OVER/UNDER,ODDS,SIM PROB,EV,KELLY CRITERION
174,Obi Toppin,Bovada,player_points,8.5,Under,115,0.446,-4.15,0.0
175,Aaron Wiggins,FanDuel,player_points,6.5,Under,-132,0.544,-4.45,0.0
176,Alex Caruso,BetRivers,player_points,9.5,Under,-134,0.546,-4.62,0.0
177,Tyrese Haliburton,Bovada,player_points,15.5,Over,-210,0.646,-4.64,0.0
178,Obi Toppin,Bovada,player_points,7.5,Under,160,0.365,-5.23,0.0
179,Luguentz Dort,Bovada,player_points,6.5,Over,-240,0.667,-5.47,0.0
180,Myles Turner,Bovada,player_points,17.5,Under,-245,0.67,-5.59,0.0
181,Luguentz Dort,BetRivers,player_points,8.5,Over,-103,0.479,-5.66,0.0
182,Chet Holmgren,Bovada,player_points,18.5,Over,205,0.309,-5.75,0.0
183,Chet Holmgren,Bovada,player_points,18.5,Under,-280,0.694,-5.82,0.0
184,Tyrese Haliburton,Bovada,player_points,14.5,Under,200,0.313,-6.05,0.0
185,Aaron Wiggins,BetRivers,player_points,5.5,Under,-103,0.477,-6.05,0.0
186,Obi Toppin,BetRivers,player_points,8.5,Over,-143,0.553,-6.06,0.0
187,Luguentz Dort,DraftKings,player_points,8.5,Over,100,0.47,-6.07,0.0
188,Luguentz Dort,FanDuel,player_points,8.5,Over,-102,0.472,-6.5,0.0
189,Tyrese Haliburton,Bovada,player_points,14.5,Over,-275,0.685,-6.54,0.0
190,Aaron Wiggins,BetRivers,player_points,5.5,Over,-130,0.528,-6.59,0.0
191,Luguentz Dort,DraftKings,player_points,8.5,Under,-130,0.527,-6.75,0.0
192,Alex Caruso,FanDuel,player_points,8.5,Over,-136,0.537,-6.84,0.0
193,Luguentz Dort,FanDuel,player_points,8.5,Under,-130,0.526,-6.86,0.0
194,Luguentz Dort,BetRivers,player_points,8.5,Under,-132,0.528,-7.21,0.0
195,Bennedict Mathurin,Bovada,player_points,6.5,Over,-275,0.68,-7.24,0.0
196,Obi Toppin,FanDuel,player_points,9.5,Over,-108,0.481,-7.32,0.0
197,Obi Toppin,Bovada,player_points,8.5,Over,-150,0.556,-7.35,0.0
198,Myles Turner,Bovada,player_points,17.5,Over,180,0.33,-7.5,0.0
199,Obi Toppin,Bovada,player_points,7.5,Over,-215,0.63,-7.63,0.0
200,Alex Caruso,FanDuel,player_points,8.5,Under,102,0.455,-8.01,0.0
201,Obi Toppin,BetRivers,player_points,8.5,Under,107,0.444,-8.18,0.0
202,Tyrese Haliburton,Bovada,player_points,15.5,Under,155,0.36,-8.25,0.0
203,Luguentz Dort,Bovada,player_points,7.5,Over,-165,0.571,-8.36,0.0
204,Alex Caruso,Bovada,player_points,7.5,Over,-215,0.625,-8.45,0.0
205,Chet Holmgren,Bovada,player_points,17.5,Under,-220,0.627,-8.77,0.0
206,Obi Toppin,BetOnline.ag,player_points,9.5,Over,-109,0.475,-8.85,0.0
207,Myles Turner,Bovada,player_points,16.5,Under,-190,0.597,-8.93,0.0
208,Luguentz Dort,Bovada,player_points,6.5,Under,175,0.331,-9.05,0.0
209,Aaron Wiggins,FanDuel,player_points,6.5,Over,100,0.455,-9.09,0.0
210,Alex Caruso,DraftKings,player_points,8.5,Under,-105,0.465,-9.14,0.0
211,Jalen Williams,Bovada,player_points,17.5,Over,-250,0.648,-9.32,0.0
212,Bennedict Mathurin,Bovada,player_points,7.5,Under,140,0.378,-9.4,0.0
213,Aaron Wiggins,BetRivers,player_points,6.5,Over,100,0.453,-9.48,0.0
214,Alex Caruso,Bovada,player_points,8.5,Over,-150,0.543,-9.55,0.0
215,Alex Caruso,BetRivers,player_points,9.5,Over,100,0.452,-9.62,0.0
216,Luguentz Dort,BetOnline.ag,player_points,8.5,Over,-109,0.471,-9.72,0.0
217,Obi Toppin,Bovada,player_points,9.5,Over,-110,0.47,-10.2,0.0
218,Obi Toppin,Bovada,player_points,10.5,Over,125,0.399,-10.25,0.0
219,Alex Caruso,BetRivers,player_points,8.5,Under,-107,0.463,-10.49,0.0
220,Aaron Wiggins,BetOnline.ag,player_points,6.5,Over,-102,0.452,-10.52,0.0
221,Andrew Nembhard,Bovada,player_points,14.5,Under,-230,0.623,-10.62,0.0
222,Myles Turner,Bovada,player_points,15.5,Under,-145,0.529,-10.69,0.0
223,Obi Toppin,DraftKings,player_points,9.5,Over,-115,0.477,-10.77,0.0
224,Tyrese Haliburton,Bovada,player_points,16.5,Under,120,0.405,-10.82,0.0
225,Chet Holmgren,BetRivers,player_points,16.5,Under,-159,0.547,-10.93,0.0
226,Luguentz Dort,BetRivers,player_points,7.5,Under,107,0.43,-10.96,0.0
227,Jalen Williams,Bovada,player_points,19.5,Over,-160,0.547,-11.04,0.0
228,Obi Toppin,BetRivers,player_points,9.5,Over,-110,0.466,-11.1,0.0
229,Tyrese Haliburton,Bovada,player_points,17.5,Under,-105,0.454,-11.41,0.0
230,Jalen Williams,Bovada,player_points,18.5,Over,-200,0.59,-11.52,0.0
231,Jalen Williams,BetRivers,player_points,19.5,Over,-157,0.54,-11.67,0.0
232,Tyrese Haliburton,Bovada,player_points,21.5,Under,-260,0.637,-11.87,0.0
233,Luguentz Dort,Bovada,player_points,8.5,Over,-115,0.471,-11.99,0.0
234,Tyrese Haliburton,Bovada,player_points,19.5,Under,-165,0.547,-12.18,0.0
235,Tyrese Haliburton,Bovada,player_points,18.5,Under,-130,0.494,-12.62,0.0
236,Tyrese Haliburton,Bovada,player_points,20.5,Under,-210,0.591,-12.78,0.0
