Player,Position,Prop,Line,Opponent,Odds Over,Odds Under,Implied Over,Implied Under,EV Over,EV Under,Avg Stat L10,Med Stat L10,Std Stat L10,Z Score,Prob Over,Prob Under,OVER L5,OVER L10,OVER L15,Avg Min L10,Std Min L10,Avg USG% L10,Std USG% L10,Avg Stat vs Matchup,Matchup Games,Spread,Total,Opp Def Rating,Opp Def Rank,Opp Pace,Opp Pace Rank
Maxime Raynaud,C,PTS+REB+AST,27.5,Atlanta Hawks,-115,-115,0.535,0.535,1.33,-14.37,28.6,30.5,10.33,-0.106,0.542,0.458,0.6,0.6,0.6,32.5,5.42,0.21,0.05,12.0,1.0,14.5,236.5,113.1,11,102.59,4
Matas Buzelis,SF,PTS+REB,27.5,Memphis Grizzlies,-113,-110,0.531,0.524,0.28,-10.65,28.2,27.5,8.66,-0.081,0.532,0.468,0.4,0.5,0.4,32.81,6.08,0.25,0.03,17.67,3.0,-4.5,246.0,117.2,22,101.41,10
Royce O'Neale,PF,AST,2.5,Utah Jazz,-110,-105,0.524,0.512,0.23,-7.26,2.6,3.0,1.58,-0.063,0.525,0.475,0.6,0.6,0.53,27.45,4.98,0.13,0.03,4.0,5.0,-16.5,231.5,120.7,29,102.95,2
Jalen Duren,C,PTS+AST,24.5,Minnesota Timberwolves,-105,-125,0.512,0.556,0.16,-12.34,24.7,24.0,6.24,-0.032,0.513,0.487,0.2,0.4,0.47,27.02,6.45,0.27,0.05,12.0,2.0,-1.5,221.0,112.2,6,101.42,9
Paul George,SF,PTS+REB,20.5,Charlotte Hornets,-104,-120,0.51,0.545,0.04,-10.17,20.7,18.5,7.73,-0.026,0.51,0.49,0.2,0.4,0.47,32.48,2.54,0.21,0.06,25.5,4.0,6.5,230.5,113.6,13,97.9,26
Kon Knueppel,SG,3PM,3.5,Boston Celtics,100,-105,0.5,0.512,0.0,-2.38,3.5,4.0,1.51,0.0,0.5,0.5,0.6,0.4,0.53,28.64,5.55,0.21,0.03,4.0,1.0,-2.5,215.5,111.5,4,95.47,30
Kon Knueppel,SG,3PM,3.5,Philadelphia 76ers,100,-105,0.5,0.512,0.0,-2.38,3.5,4.0,1.51,0.0,0.5,0.5,0.6,0.4,0.53,28.64,5.55,0.21,0.03,2.5,2.0,-6.5,230.5,114.8,17,100.33,16
DeMar DeRozan,SF,PTS+REB+AST,25.5,Atlanta Hawks,102,-115,0.495,0.535,-0.01,-5.59,25.3,19.5,16.15,0.012,0.495,0.505,0.2,0.3,0.27,30.13,7.5,0.24,0.08,22.5,2.0,14.5,236.5,113.1,11,102.59,4
Matas Buzelis,SF,PTS+REB+AST,29.5,Memphis Grizzlies,-110,-110,0.524,0.524,-0.15,-8.94,30.0,29.5,8.78,-0.057,0.523,0.477,0.4,0.5,0.47,32.81,6.08,0.25,0.03,18.33,3.0,-4.5,246.0,117.2,22,101.41,10
Duncan Robinson,SG,REB,2.5,Minnesota Timberwolves,-110,-114,0.524,0.533,-0.73,-9.89,2.6,3.0,1.96,-0.051,0.52,0.48,0.6,0.6,0.6,24.6,3.53,0.15,0.03,3.0,2.0,-1.5,221.0,112.2,6,101.42,9
Jordan Goodwin,PG,PTS,8.5,Utah Jazz,105,-110,0.488,0.524,-1.19,-1.11,8.3,6.5,4.37,0.046,0.482,0.518,0.4,0.3,0.33,23.51,5.99,0.15,0.05,9.0,3.0,-16.5,231.5,120.7,29,102.95,2
DeMar DeRozan,SF,PTS+AST,22.5,Atlanta Hawks,-108,-114,0.519,0.533,-1.2,-8.58,23.0,18.0,15.56,-0.032,0.513,0.487,0.2,0.3,0.33,30.13,7.5,0.24,0.08,17.5,2.0,14.5,236.5,113.1,11,102.59,4
Josh Giddey,SG,REB,9.5,Memphis Grizzlies,-105,-115,0.512,0.535,-2.38,-6.52,9.5,10.0,4.5,0.0,0.5,0.5,0.4,0.5,0.33,35.72,4.65,0.21,0.03,11.67,3.0,-4.5,246.0,117.2,22,101.41,10
Collin Gillespie,PG,PTS+REB+AST,20.5,Utah Jazz,-118,-108,0.541,0.519,-2.45,-9.1,21.2,23.0,10.09,-0.069,0.528,0.472,0.8,0.6,0.67,29.72,5.42,0.17,0.05,26.0,2.0,-16.5,231.5,120.7,29,102.95,2
DeMar DeRozan,SF,PTS+REB,19.5,Atlanta Hawks,-120,-105,0.545,0.512,-2.47,-8.63,20.6,16.5,13.83,-0.08,0.532,0.468,0.2,0.3,0.33,30.13,7.5,0.24,0.08,20.5,2.0,14.5,236.5,113.1,11,102.59,4
Collin Gillespie,PG,PTS,12.5,Utah Jazz,-105,-118,0.512,0.541,-3.36,-6.7,12.4,12.0,8.36,0.012,0.495,0.505,0.6,0.4,0.47,29.72,5.42,0.17,0.05,13.5,2.0,-16.5,231.5,120.7,29,102.95,2
Royce O'Neale,PF,PTS,9.5,Utah Jazz,-114,-110,0.533,0.524,-3.7,-7.03,9.7,7.5,6.17,-0.032,0.513,0.487,0.4,0.4,0.33,27.45,4.98,0.13,0.03,13.6,5.0,-16.5,231.5,120.7,29,102.95,2
