BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE
Underdog,player_points,Peyton Watson,Over,4.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Peyton Watson,Under,4.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Collin Gillespie,Over,8.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Collin Gillespie,Under,8.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Jaylen Brown,Over,23.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Jaylen Brown,Under,23.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Cade Cunningham,Over,27.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Cade Cunningham,Under,27.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Derrick White,Over,22.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Derrick White,Under,22.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Tobias Harris,Over,14.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Tobias Harris,Under,14.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Ausar Thompson,Over,13.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Ausar Thompson,Under,13.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Jalen Duren,Over,12.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Jalen Duren,Under,12.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Payton Pritchard,Over,16.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Payton Pritchard,Under,16.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Sam Hauser,Over,10.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Sam Hauser,Under,10.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Neemias Queta,Over,8.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Neemias Queta,Under,8.5,-137,2025-10-26,2025-10-25T22:45:58Z
Underdog,player_points,Scottie Barnes,Over,17.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Scottie Barnes,Under,17.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Cooper Flagg,Over,16.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Cooper Flagg,Under,16.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Anthony Davis,Over,26.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Anthony Davis,Under,26.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Brandon Ingram,Over,20.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Brandon Ingram,Under,20.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Klay Thompson,Over,11.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Klay Thompson,Under,11.5,-137,2025-10-26,2025-10-25T22:46:07Z
Underdog,player_points,Immanuel Quickley,Over,16.5,-137,2025-10-26,2025-10-25T22:46:07Z
