Game,Tipoff,Season,Score,Over_Under,Home_Line
PHI @ DEN,Nov 18 9:00 PM,2021,103-89,209.5,-7.5
TOR @ UTA,Nov 18 9:00 PM,2021,103-119,214.5,-10.5
IND @ CHA,Nov 19 7:00 PM,2021,118-121,216.0,1.0
GSW @ DET,Nov 19 7:00 PM,2021,105-102,201.5,2.0
ORL @ BKN,Nov 19 7:30 PM,2021,113-115,209.0,-9.5
LAL @ BOS,Nov 19 7:30 PM,2021,108-130,213.5,1.5
OKC @ MIL,Nov 19 8:00 PM,2021,89-96,215.5,-13.0
LAC @ NOP,Nov 19 8:00 PM,2021,81-94,214.5,4.5
CHI @ DEN,Nov 19 9:00 PM,2021,114-108,205.5,3.5
DAL @ PHX,Nov 19 10:00 PM,2021,104-112,211.5,-8.5
TOR @ SAC,Nov 19 10:00 PM,2021,108-89,221.0,-3.5
HOU @ NYK,Nov 20 5:00 PM,2021,99-106,213.5,-10.5
NOP @ IND,Nov 20 7:00 PM,2021,94-111,207.0,-7.5
MIA @ WAS,Nov 20 7:00 PM,2021,100-103,208.5,2.0
CHA @ ATL,Nov 20 7:30 PM,2021,105-115,226.5,-7.5
OKC @ BOS,Nov 20 7:30 PM,2021,105-111,205.0,-9.0
ORL @ MIL,Nov 20 8:00 PM,2021,108-117,215.5,-12.5
MEM @ MIN,Nov 20 8:00 PM,2021,95-138,221.0,1.0
PHI @ POR,Nov 20 10:00 PM,2021,111-118,216.5,-7.0
UTA @ SAC,Nov 20 10:00 PM,2021,123-105,221.5,7.5
DAL @ LAC,Nov 21 3:30 PM,2021,91-97,209.0,-5.5
LAL @ DET,Nov 21 6:00 PM,2021,121-116,213.0,7.0
NYK @ CHI,Nov 21 8:00 PM,2021,103-109,213.0,-5.5
DEN @ PHX,Nov 21 8:00 PM,2021,97-126,208.5,-10.5
TOR @ GSW,Nov 21 8:30 PM,2021,104-119,217.0,-9.0
BKN @ CLE,Nov 22 7:00 PM,2021,117-112,208.5,5.5
CHA @ WAS,Nov 22 7:00 PM,2021,109-103,215.5,-4.5
OKC @ ATL,Nov 22 7:30 PM,2021,101-113,212.0,-13.0
HOU @ BOS,Nov 22 7:30 PM,2021,90-108,213.5,-11.5
IND @ CHI,Nov 22 8:00 PM,2021,109-77,216.5,-1.5
ORL @ MIL,Nov 22 8:00 PM,2021,92-123,218.5,-13.5
MIN @ NOP,Nov 22 8:00 PM,2021,110-96,214.0,3.5
PHX @ SAS,Nov 22 8:30 PM,2021,115-111,220.0,5.5
MEM @ UTA,Nov 22 9:00 PM,2021,119-118,221.5,-11.0
PHI @ SAC,Nov 22 10:00 PM,2021,102-94,220.5,-5.0
MIA @ DET,Nov 23 7:00 PM,2021,100-92,208.5,10.5
LAL @ NYK,Nov 23 7:30 PM,2021,100-106,214.5,-4.5
DEN @ POR,Nov 23 10:00 PM,2021,100-119,212.5,-10.0
DAL @ LAC,Nov 23 10:30 PM,2021,112-104,213.0,-2.5
PHX @ CLE,Nov 24 7:00 PM,2021,120-115,210.5,7.5
LAL @ IND,Nov 24 7:00 PM,2021,124-116,217.0,-5.0
CHA @ ORL,Nov 24 7:00 PM,2021,106-99,219.5,7.0
BKN @ BOS,Nov 24 7:30 PM,2021,123-104,216.0,1.0
CHI @ HOU,Nov 24 8:00 PM,2021,113-118,217.0,10.0
TOR @ MEM,Nov 24 8:00 PM,2021,126-113,217.5,-3.0
DET @ MIL,Nov 24 8:00 PM,2021,93-114,213.0,-15.0
MIA @ MIN,Nov 24 8:00 PM,2021,101-113,213.0,2.0
WAS @ NOP,Nov 24 8:00 PM,2021,102-127,210.5,4.0
UTA @ OKC,Nov 24 8:00 PM,2021,110-104,207.5,13.5
ATL @ SAS,Nov 24 8:30 PM,2021,124-106,223.5,3.5
PHI @ GSW,Nov 24 10:00 PM,2021,96-116,217.0,-10.5
POR @ SAC,Nov 24 10:00 PM,2021,121-125,225.0,1.5
DET @ LAC,Nov 26 3:30 PM,2021,96-107,205.5,-11.5
MIN @ CHA,Nov 26 7:00 PM,2021,115-133,226.0,-2.0
PHX @ NYK,Nov 26 7:00 PM,2021,118-97,214.0,4.0
CHI @ ORL,Nov 26 7:00 PM,2021,123-88,212.5,9.5
TOR @ IND,Nov 26 8:00 PM,2021,97-114,209.5,-5.0
ATL @ MEM,Nov 26 8:00 PM,2021,132-100,227.0,1.0
WAS @ OKC,Nov 26 8:00 PM,2021,101-99,208.0,6.5
BOS @ SAS,Nov 26 8:30 PM,2021,88-96,213.5,4.5
MIL @ DEN,Nov 26 9:00 PM,2021,120-109,215.5,6.5
NOP @ UTA,Nov 26 9:00 PM,2021,98-97,218.5,-13.5
POR @ GSW,Nov 26 10:00 PM,2021,103-118,225.0,-6.0
SAC @ LAL,Nov 26 10:30 PM,2021,141-137,228.5,-7.5
MIN @ PHI,Nov 27 6:00 PM,2021,121-120,217.5,-6.5
NYK @ ATL,Nov 27 7:30 PM,2021,99-90,217.0,-8.0
PHX @ BKN,Nov 27 7:30 PM,2021,113-107,226.0,-1.5
MIA @ CHI,Nov 27 8:00 PM,2021,107-104,209.5,1.0
ORL @ CLE,Nov 27 8:00 PM,2021,92-105,204.5,-10.5
CHA @ HOU,Nov 27 8:00 PM,2021,143-146,227.0,5.0
WAS @ DAL,Nov 27 8:30 PM,2021,120-114,213.0,-6.5
NOP @ UTA,Nov 27 9:00 PM,2021,105-127,214.5,-12.5
GSW @ LAC,Nov 28 3:30 PM,2021,105-90,215.5,2.5
MIL @ IND,Nov 28 5:00 PM,2021,118-100,216.5,2.0
SAC @ MEM,Nov 28 6:00 PM,2021,101-128,223.0,-4.0
BOS @ TOR,Nov 28 6:00 PM,2021,109-97,207.0,2.0
DET @ LAL,Nov 28 9:30 PM,2021,106-110,214.5,-10.5
ORL @ PHI,Nov 29 7:00 PM,2021,96-101,205.0,-14.0
DEN @ MIA,Nov 29 7:30 PM,2021,120-111,205.5,-3.0
CHA @ CHI,Nov 29 8:00 PM,2021,119-133,224.5,-5.0
OKC @ HOU,Nov 29 8:00 PM,2021,89-102,217.5,-2.5
IND @ MIN,Nov 29 8:00 PM,2021,98-100,220.0,-4.0
CLE @ DAL,Nov 29 8:30 PM,2021,114-96,210.5,-6.5
WAS @ SAS,Nov 29 8:30 PM,2021,99-116,215.0,3.0
POR @ UTA,Nov 29 9:00 PM,2021,107-129,221.5,-7.0
NOP @ LAC,Nov 29 10:30 PM,2021,123-104,210.5,-7.0
NYK @ BKN,Nov 30 7:30 PM,2021,110-112,215.0,-6.0
MEM @ TOR,Nov 30 7:30 PM,2021,98-91,214.5,-3.0
GSW @ PHX,Nov 30 10:00 PM,2021,96-104,222.0,-3.0
DET @ POR,Nov 30 10:00 PM,2021,92-110,209.5,-7.5
LAL @ SAC,Nov 30 10:00 PM,2021,117-92,224.0,1.0
ATL @ IND,Dec 1 7:00 PM,2021,114-111,217.5,-2.0
DEN @ ORL,Dec 1 7:00 PM,2021,103-108,208.0,8.0
MIN @ WAS,Dec 1 7:00 PM,2021,107-115,217.0,-3.5
PHI @ BOS,Dec 1 7:30 PM,2021,87-88,206.5,-3.0
CLE @ MIA,Dec 1 7:30 PM,2021,111-85,206.5,-3.0
CHA @ MIL,Dec 1 8:00 PM,2021,125-127,231.0,-9.0
DAL @ NOP,Dec 1 8:00 PM,2021,139-107,216.5,4.5
HOU @ OKC,Dec 1 8:00 PM,2021,114-110,217.0,-2.5
SAC @ LAC,Dec 1 10:30 PM,2021,124-115,215.0,-6.0
CHI @ NYK,Dec 2 7:30 PM,2021,119-115,209.5,2.0
MIL @ TOR,Dec 2 7:30 PM,2021,93-97,216.0,4.5
OKC @ MEM,Dec 2 8:00 PM,2021,79-152,210.5,-11.0
DET @ PHX,Dec 2 9:00 PM,2021,103-114,207.5,-11.5
SAS @ POR,Dec 2 10:00 PM,2021,114-83,215.5,-5.0
MIA @ IND,Dec 3 7:00 PM,2021,113-104,206.5,-5.5
CLE @ WAS,Dec 3 7:00 PM,2021,116-101,209.0,-3.0
PHI @ ATL,Dec 3 7:30 PM,2021,98-96,216.0,-2.5
MIN @ BKN,Dec 3 7:30 PM,2021,105-110,219.0,-9.0
ORL @ HOU,Dec 3 8:00 PM,2021,116-118,217.5,-3.0
NOP @ DAL,Dec 3 8:30 PM,2021,107-91,215.0,-7.0
BOS @ UTA,Dec 3 9:00 PM,2021,130-137,210.0,-8.0
PHX @ GSW,Dec 3 10:00 PM,2021,96-118,215.0,-7.0
LAC @ LAL,Dec 3 10:00 PM,2021,119-115,219.0,2.0
DEN @ NYK,Dec 4 1:00 PM,2021,113-99,209.0,-2.5
CHI @ BKN,Dec 4 8:00 PM,2021,111-107,222.5,-2.5
MIA @ MIL,Dec 4 8:00 PM,2021,102-124,211.0,-6.5
MEM @ DAL,Dec 4 8:30 PM,2021,97-90,214.5,0.0
SAS @ GSW,Dec 4 8:30 PM,2021,112-107,219.0,-9.0
BOS @ POR,Dec 4 10:00 PM,2021,145-117,211.0,1.5
LAC @ SAC,Dec 4 10:00 PM,2021,99-104,219.5,2.0
UTA @ CLE,Dec 5 3:30 PM,2021,109-108,213.5,5.0
CHA @ ATL,Dec 5 6:00 PM,2021,130-127,225.0,-7.5
WAS @ TOR,Dec 5 6:00 PM,2021,90-102,212.5,-1.0
NOP @ HOU,Dec 5 7:00 PM,2021,108-118,222.0,2.5
PHI @ CHA,Dec 6 7:00 PM,2021,127-124,214.5,7.5
OKC @ DET,Dec 6 7:00 PM,2021,114-103,205.0,-3.0
WAS @ IND,Dec 6 7:00 PM,2021,110-116,211.5,-6.0
MEM @ MIA,Dec 6 7:30 PM,2021,105-90,214.0,-5.5
DEN @ CHI,Dec 6 8:00 PM,2021,97-109,213.5,-2.0
CLE @ MIL,Dec 6 8:00 PM,2021,104-112,215.0,-8.5
ATL @ MIN,Dec 6 8:00 PM,2021,121-110,221.5,-2.0
SAS @ PHX,Dec 6 9:00 PM,2021,104-108,215.5,-7.5
ORL @ GSW,Dec 6 10:00 PM,2021,95-126,217.0,-16.0
LAC @ POR,Dec 6 10:00 PM,2021,102-90,213.5,5.0
BKN @ DAL,Dec 7 7:30 PM,2021,102-99,221.0,1.5
NYK @ SAS,Dec 7 8:30 PM,2021,121-109,211.0,2.0
BOS @ LAL,Dec 7 10:00 PM,2021,102-117,220.0,-3.0
PHI @ CHA,Dec 8 7:00 PM,2021,110-106,216.0,6.5
CHI @ CLE,Dec 8 7:00 PM,2021,92-115,212.5,-3.0
WAS @ DET,Dec 8 7:00 PM,2021,119-116,210.5,5.0
NYK @ IND,Dec 8 7:00 PM,2021,102-122,208.0,-5.0
MIL @ MIA,Dec 8 7:30 PM,2021,104-113,217.5,6.5
