BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS
Underdog,player_points_rebounds,Veronica Burton,Over,16.5,-137
Underdog,player_points_rebounds,Veronica Burton,Under,16.5,-137
Underdog,player_points_rebounds,Allisha Gray,Over,21.5,-137
Underdog,player_points_rebounds,Allisha Gray,Under,21.5,-137
Underdog,player_points_rebounds,Alyssa Thomas,Over,25.5,-137
Underdog,player_points_rebounds,Alyssa Thomas,Under,25.5,-137
PrizePicks,player_points_assists,Napheesa Collier,Over,24.0,-137
PrizePicks,player_points_assists,Napheesa Collier,Under,24.0,-137
PrizePicks,player_points_assists,Kayla McBride,Over,17.0,-137
PrizePicks,player_points_assists,Kayla McBride,Under,17.0,-137
PrizePicks,player_points_assists,Courtney Williams,Over,18.5,-137
PrizePicks,player_points_assists,Courtney Williams,Under,18.5,-137
PrizePicks,player_points_assists,Veronica Burton,Over,17.5,-137
PrizePicks,player_points_assists,Veronica Burton,Under,17.5,-137
PrizePicks,player_points_assists,Jordin Canada,Over,16.5,-137
PrizePicks,player_points_assists,Jordin Canada,Under,16.5,-137
PrizePicks,player_points_assists,Rhyne Howard,Over,21.5,-137
PrizePicks,player_points_assists,Rhyne Howard,Under,21.5,-137
PrizePicks,player_points_assists,Allisha Gray,Over,20.5,-137
PrizePicks,player_points_assists,Allisha Gray,Under,20.5,-137
PrizePicks,player_points_assists,Kelsey Mitchell,Over,22.5,-137
PrizePicks,player_points_assists,Kelsey Mitchell,Under,22.5,-137
PrizePicks,player_points_assists,Aliyah Boston,Over,17.5,-137
PrizePicks,player_points_assists,Aliyah Boston,Under,17.5,-137
PrizePicks,player_points_assists,Odyssey Sims,Over,14.5,-137
PrizePicks,player_points_assists,Odyssey Sims,Under,14.5,-137
PrizePicks,player_points_assists,Breanna Stewart,Over,22.5,-137
PrizePicks,player_points_assists,Breanna Stewart,Under,22.5,-137
PrizePicks,player_points_assists,Natasha Cloud,Over,14.0,-137
PrizePicks,player_points_assists,Natasha Cloud,Under,14.0,-137
PrizePicks,player_points_assists,Gabby Williams,Over,12.5,-137
PrizePicks,player_points_assists,Gabby Williams,Under,12.5,-137
PrizePicks,player_points_assists,A'ja Wilson,Over,27.5,-137
PrizePicks,player_points_assists,A'ja Wilson,Under,27.5,-137
PrizePicks,player_points_assists,Chelsea Gray,Over,17.5,-137
PrizePicks,player_points_assists,Chelsea Gray,Under,17.5,-137
PrizePicks,player_points_assists,Jackie Young,Over,21.5,-137
