market,bookmaker,player,side,line,price,home_team,away_team,game_id,commence_time
player_assists,PrizePicks,Paolo Banchero,Under,6.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_assists,PrizePicks,Tyler Herro,Over,5.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_assists,PrizePicks,Tyler Herro,Under,5.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Bam Adebayo,Over,16.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Bam Adebayo,Under,16.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Franz Wagner,Over,19.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Franz Wagner,Under,19.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Jimmy Butler,Over,19.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Jimmy Butler,Under,19.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Jalen Suggs,Over,12.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Jalen Suggs,Under,12.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Nikola Jovic,Over,7.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Nikola Jovic,Under,7.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Kentavious Caldwell-Pope,Over,8.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Kentavious Caldwell-Pope,Under,8.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Terry Rozier,Over,15.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Terry Rozier,Under,15.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Paolo Banchero,Over,22.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Paolo Banchero,Under,22.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Tyler Herro,Over,19.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Tyler Herro,Under,19.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Wendell Carter Jr,Over,10.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_points,PrizePicks,Wendell Carter Jr,Under,10.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Bam Adebayo,Over,10.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Bam Adebayo,Under,10.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Franz Wagner,Over,5.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Franz Wagner,Under,5.0,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Jimmy Butler,Over,4.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Jimmy Butler,Under,4.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Jalen Suggs,Over,3.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Jalen Suggs,Under,3.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Nikola Jovic,Over,4.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Nikola Jovic,Under,4.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Paolo Banchero,Over,7.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Paolo Banchero,Under,7.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Tyler Herro,Over,4.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Tyler Herro,Under,4.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Wendell Carter Jr,Over,7.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_rebounds,PrizePicks,Wendell Carter Jr,Under,7.5,-137,Miami Heat,Orlando Magic,8e1c55c639dc5d22d84decb3f27c7b66,2024-10-23T23:30:00Z
player_assists,Underdog,LaMelo Ball,Over,7.5,-137,Houston Rockets,Charlotte Hornets,3614297da4247a7aaef3dbd9463e644b,2024-10-24T00:00:00Z
player_assists,Underdog,LaMelo Ball,Under,7.5,-137,Houston Rockets,Charlotte Hornets,3614297da4247a7aaef3dbd9463e644b,2024-10-24T00:00:00Z
player_points,Underdog,LaMelo Ball,Over,23.5,-137,Houston Rockets,Charlotte Hornets,3614297da4247a7aaef3dbd9463e644b,2024-10-24T00:00:00Z
player_points,Underdog,LaMelo Ball,Under,23.5,-137,Houston Rockets,Charlotte Hornets,3614297da4247a7aaef3dbd9463e644b,2024-10-24T00:00:00Z
player_points,Underdog,Alperen Sengun,Over,20.5,-137,Houston Rockets,Charlotte Hornets,3614297da4247a7aaef3dbd9463e644b,2024-10-24T00:00:00Z
player_points,Underdog,Alperen Sengun,Under,20.5,-137,Houston Rockets,Charlotte Hornets,3614297da4247a7aaef3dbd9463e644b,2024-10-24T00:00:00Z
player_points,Underdog,Jalen Green,Over,21.5,-137,Houston Rockets,Charlotte Hornets,3614297da4247a7aaef3dbd9463e644b,2024-10-24T00:00:00Z
player_points,Underdog,Jalen Green,Under,21.5,-137,Houston Rockets,Charlotte Hornets,3614297da4247a7aaef3dbd9463e644b,2024-10-24T00:00:00Z
player_points,Underdog,Miles Bridges,Over,19.5,-137,Houston Rockets,Charlotte Hornets,3614297da4247a7aaef3dbd9463e644b,2024-10-24T00:00:00Z
player_points,Underdog,Miles Bridges,Under,19.5,-137,Houston Rockets,Charlotte Hornets,3614297da4247a7aaef3dbd9463e644b,2024-10-24T00:00:00Z
player_points,Underdog,Fred VanVleet,Over,16.5,-137,Houston Rockets,Charlotte Hornets,3614297da4247a7aaef3dbd9463e644b,2024-10-24T00:00:00Z
player_points,Underdog,Fred VanVleet,Under,16.5,-137,Houston Rockets,Charlotte Hornets,3614297da4247a7aaef3dbd9463e644b,2024-10-24T00:00:00Z
player_points,Underdog,Brandon Miller,Over,18.5,-137,Houston Rockets,Charlotte Hornets,3614297da4247a7aaef3dbd9463e644b,2024-10-24T00:00:00Z
