NAME,CATEGORY,SIDE,BOOKMAKER,LINE,ODDS,fair_line,fair_odds,GAME_DATE
Giannis Antetokounmpo,rebounds,over,espnbet,13.5,110,13.5,107,2024-10-27
Giannis Antetokounmpo,points,under,espnbet,24.5,-135,24.5,-108,2024-10-27
Toumani Camara,points,under,betrivers,10.5,-117,10.5,102,2024-10-27
Anfernee Simons,rebounds,over,draftkings,2.5,100,2.5,110,2024-10-27
Deandre Ayton,assists,over,draftkings,0.5,175,0.5,192,2024-10-27
Zion Williamson,assists,over,draftkings,5.5,600,5.5,150,2024-10-27
Deni Avdija,assists,over,draftkings,1.5,170,3.0,100,2024-10-27
CJ McCollum,rebounds,over,draftkings,3.5,105,3.5,-136,2024-10-27
Toumani Camara,points,over,betrivers,10.5,-122,10.5,-102,2024-10-27
Scoot Henderson,rebounds,over,draftkings,4.5,390,3.0,100,2024-10-27
Zion Williamson,rebounds,over,draftkings,4.5,475,3.5,115,2024-10-27
Andrew Wiggins,points,under,espnbet,29.5,-165,20.0,100,2024-10-27
James Harden,assists,under,espnbet,11.5,-225,9.5,105,2024-10-27
James Harden,points,under,espnbet,21.5,-120,21.5,100,2024-10-27
Jonathan Kuminga,points,under,espnbet,14.5,-140,14.5,-112,2024-10-27
Jonathan Kuminga,points,over,espnbet,14.5,100,14.5,112,2024-10-27
James Harden,assists,over,espnbet,11.5,150,9.5,-105,2024-10-27
Andrew Wiggins,points,over,espnbet,29.5,115,20.0,100,2024-10-27
James Harden,points,over,espnbet,21.5,-120,21.5,100,2024-10-27
Ivica Zubac,rebounds,over,espnbet,18.5,165,12.5,100,2024-10-27
Ivica Zubac,rebounds,under,espnbet,18.5,-250,12.5,100,2024-10-27
Paolo Banchero,points,under,espnbet,51.5,-120,36.0,100,2024-10-28
Paolo Banchero,points,over,espnbet,51.5,-120,36.0,100,2024-10-28
Isaac Okoro,points,under,fanduel,2.5,-102,4.5,101,2024-10-28
Isaac Okoro,points,over,fanduel,2.5,-130,4.5,-101,2024-10-28
Jordan Poole,points,under,espnbet,23.5,-150,20.5,-113,2024-10-28
Jordan Poole,points,over,espnbet,23.5,105,20.5,113,2024-10-28
Chris Boucher,points,under,fanduel,7.5,100,7.5,109,2024-10-28
Ochai Agbaji,points,under,fanduel,6.5,-108,6.5,102,2024-10-28
Davion Mitchell,assists,over,fanduel,3.5,130,3.5,-113,2024-10-28
Davion Mitchell,assists,under,fanduel,3.5,-174,3.5,113,2024-10-28
Ochai Agbaji,points,over,fanduel,6.5,-112,6.5,-102,2024-10-28
Chris Boucher,rebounds,over,fanduel,4.5,136,4.5,148,2024-10-28
Chris Boucher,rebounds,under,fanduel,4.5,-168,4.5,-148,2024-10-28
Chris Boucher,points,over,fanduel,7.5,-120,7.5,-109,2024-10-28
Payton Pritchard,points,over,fanduel,29.5,-125,29.5,-108,2024-10-28
Giannis Antetokounmpo,assists,over,fanduel,6.5,-122,6.5,-106,2024-10-28
Giannis Antetokounmpo,points,over,fanduel,31.5,-108,31.5,104,2024-10-28
