,BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,version https://git-lfs.github.com/spec/v1
12744,DraftKings Pick6,player_points,Brandin Podziemski,Under,12.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12745,DraftKings Pick6,player_points,Draymond Green,Over,8.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12746,DraftKings Pick6,player_points,Draymond Green,Under,8.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12747,DraftKings Pick6,player_points,Ben Sheppard,Over,8.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12748,DraftKings Pick6,player_points,Ben Sheppard,Under,8.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12749,DraftKings Pick6,player_points,Buddy Hield,Over,7.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12750,DraftKings Pick6,player_points,Buddy Hield,Under,7.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12751,DraftKings Pick6,player_points,Jay Huff,Over,7.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12752,DraftKings Pick6,player_points,Jay Huff,Under,7.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12753,DraftKings Pick6,player_points,Al Horford,Over,6.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12754,DraftKings Pick6,player_points,Al Horford,Under,6.5,-137.0,2025-11-01,2025-11-01T18:18:29Z,
12755,DraftKings Pick6,player_points,Paolo Banchero,Over,24.5,-137.0,2025-11-01,2025-11-01T18:18:33Z,
12756,DraftKings Pick6,player_points,Paolo Banchero,Under,24.5,-137.0,2025-11-01,2025-11-01T18:18:33Z,
12757,DraftKings Pick6,player_points,Franz Wagner,Over,21.5,-137.0,2025-11-01,2025-11-01T18:18:33Z,
12758,DraftKings Pick6,player_points,Franz Wagner,Under,21.5,-137.0,2025-11-01,2025-11-01T18:18:33Z,
12759,DraftKings Pick6,player_points,Desmond Bane,Over,18.5,-137.0,2025-11-01,2025-11-01T18:18:33Z,
12760,DraftKings Pick6,player_points,Desmond Bane,Under,18.5,-137.0,2025-11-01,2025-11-01T18:18:33Z,
12761,DraftKings Pick6,player_points,C.J. McCollum,Over,16.5,-137.0,2025-11-01,2025-11-01T18:18:33Z,
12762,DraftKings Pick6,player_points,C.J. McCollum,Under,16.5,-137.0,2025-11-01,2025-11-01T18:18:33Z,
12763,DraftKings Pick6,player_points,Alex Sarr,Over,15.5,-137.0,2025-11-01,2025-11-01T18:18:33Z,
12764,DraftKings Pick6,player_points,Alex Sarr,Under,15.5,-137.0,2025-11-01,2025-11-01T18:18:33Z,
12765,DraftKings Pick6,player_points,Kyshawn George,Over,14.5,-137.0,2025-11-01,2025-11-01T18:18:33Z,
